name          , pP    , pR    , pF1
- Average -   , 0.8291, 0.9013, 0.8393
hermann_wagner, 0.9918, 0.9226, 0.9560
h_vogel       , 1.0000, 1.0000, 1.0000
bing_ren      , 0.8798, 0.9941, 0.9335
rui_wang      , 0.6096, 0.7992, 0.6917
hongfu_zhang  , 0.9988, 0.9982, 0.9985
baohong_zhang , 1.0000, 0.9992, 0.9996
qun_li        , 0.8238, 0.4730, 0.6010
david_parker  , 0.6459, 0.9899, 0.7817
hongyuan_chen , 1.0000, 0.9906, 0.9953
chun_chen     , 0.9545, 0.9880, 0.9710
min_hu        , 0.8343, 0.9709, 0.8974
jijun_zhao    , 0.8416, 1.0000, 0.9140
shinji_tanaka , 0.3233, 0.9847, 0.4868
xiaohong_guan , 0.9748, 0.9928, 0.9837
jian_yang     , 0.7101, 0.8912, 0.7904
ling_wang     , 0.8002, 0.9128, 0.8528
haining_wang  , 0.9815, 0.5419, 0.6983
feng_wang     , 0.8651, 0.9415, 0.9017
jing_yin      , 0.9964, 0.9950, 0.9957
hai_jiang     , 0.3246, 0.9782, 0.4875
wen_gao       , 0.9694, 0.7600, 0.8520
jie_wu        , 0.8959, 0.9359, 0.9155
tao_li        , 0.4849, 0.8422, 0.6154
bing_xu       , 0.7030, 0.9519, 0.8087
hideki_hayashi, 0.9568, 0.9726, 0.9646
fei_chen      , 0.9367, 0.9727, 0.9544
jiming_chen   , 0.6775, 0.9993, 0.8076
hongjun_song  , 0.9967, 0.8675, 0.9276
zhen_lei      , 0.9946, 0.9523, 0.9730
xiang_zhang   , 0.8396, 0.9848, 0.9064
lixin_gao     , 0.9329, 0.2866, 0.4385
jie_gong      , 0.6562, 0.8916, 0.7560
jianhua_yin   , 0.9285, 0.8429, 0.8836
jihua_wang    , 0.9476, 0.9998, 0.9730
barry_smith   , 0.1398, 1.0000, 0.2454
hongjie_zhang , 0.9944, 0.6495, 0.7857
wei_ren       , 0.7583, 0.8356, 0.7951
yao_wang      , 0.6889, 0.7324, 0.7099
gang_li       , 0.6576, 0.8647, 0.7471
frank_caruso  , 0.7650, 1.0000, 0.8669
jianlong_wang , 0.9736, 0.7587, 0.8528
aiqin_wang    , 1.0000, 1.0000, 1.0000
jian_pei      , 0.9660, 1.0000, 0.9827
jie_gao       , 0.6723, 0.9526, 0.7883
weimin_liu    , 0.9788, 0.9836, 0.9812
biao_huang    , 0.8411, 0.9450, 0.8900
bin_zhou      , 0.6944, 0.9784, 0.8123
r_gupta       , 0.9561, 0.8603, 0.9057
jie_tang      , 0.9233, 0.9052, 0.9141
haibo_he      , 0.9710, 0.9768, 0.9739
